FID,site,dep,date_releve,mean_effectif_jour,mean_temperature,mean_rainfall,mean_humidity,geometry
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-6118,Murviel-lès-Montpellier,34,2023-04-18,0,14,21.7,69,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-6117,Murviel-lès-Montpellier,34,2023-05-02,0.605911,17,0.1,63.7,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-6116,Murviel-lès-Montpellier,34,2023-05-16,2.433333,16.4,11.8,59.7,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-6115,Murviel-lès-Montpellier,34,2023-05-30,9.775862,20.1,14.5,71.5,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-6114,Murviel-lès-Montpellier,34,2023-06-13,35.71659,23,24,64.4,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-6113,Murviel-lès-Montpellier,34,2023-06-27,71.608466,25.3,8.6,51.5,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-6112,Murviel-lès-Montpellier,34,2023-07-11,67.811224,26.3,0.1,59.7,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-6111,Murviel-lès-Montpellier,34,2023-07-25,40.590659,24,8.3,60,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-6110,Murviel-lès-Montpellier,34,2023-08-08,37.315271,24.2,0,47.1,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-610f,Murviel-lès-Montpellier,34,2023-08-22,17.844898,28.6,2.7,55.4,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
